ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Martial_Arts,Outdoor_Activities,Sports
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which forms of dance have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which martial arts have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which outdoor activities have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which sports have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID23""}"
R_3fDWGTsvLeNd7QW,2020-11-13 14:33:09,2020-11-13 13:24:13,2020-11-13 14:33:08,1,control,"2,7",1,8,"3,17,25,26"
R_xFQyjJDDpTHWHx7,2020-11-19 10:15:10,2020-11-19 09:46:48,2020-11-19 10:15:09,1,action,1,10,1,"3,17,20"
R_2sXc8GNw7pxVp8Z,2020-11-21 11:00:50,2020-11-21 10:38:01,2020-11-21 11:00:50,1,stationary,1,1,1,"3,17,21"
R_a5EQ9M5ffYQuGjv,2020-11-22 01:53:29,2020-11-22 01:28:49,2020-11-22 01:53:29,1,action,1,1,6,1
R_1f8XUuPuAijfhk6,2020-11-24 16:02:29,2020-11-24 15:37:56,2020-11-24 16:02:29,1,stationary,"2,3,8,9",1,1,1
R_2CWGbaGbOXGwRYa,2020-12-05 22:32:02,2020-12-05 22:05:05,2020-12-05 22:32:01,1,control,1,"17,19",1,22
R_1LZLbngajm9nA2t,2020-12-06 20:27:49,2020-12-06 19:53:09,2020-12-06 20:27:48,1,stationary,"2,7",9,"6,7","20,21"
R_CjljhdowAYE5QQN,2020-12-09 17:18:24,2020-12-09 16:53:13,2020-12-09 17:18:24,1,action,"2,3,8,9,15",1,7,"4,12,20"
R_2wFg7Miy8OTjtaT,2020-12-12 23:25:41,2020-12-12 22:55:40,2020-12-12 23:25:41,1,action,2,1,"2,3,6",25
R_3Kvahc6B8d3OFpq,2020-12-13 20:30:33,2020-12-13 19:55:01,2020-12-13 20:30:32,1,control,2,1,7,10
R_ey5KBdRc5RLiFs5,2020-12-14 18:36:20,2020-12-14 18:10:11,2020-12-14 18:36:19,1,stationary,1,1,"2,6",6
R_1lmnsX6B7rrWarZ,2020-12-16 08:55:09,2020-12-16 08:24:46,2020-12-16 08:55:09,1,stationary,1,"3,4,13,14,17,19",1,1
R_3KSFfa1fuAM35Uq,2021-02-23 09:33:42,2021-02-23 09:06:11,2021-02-23 09:33:42,1,control,1,1,7,14
R_22YeesBACbP17Xl,2021-02-23 11:37:00,2021-02-23 11:07:43,2021-02-23 11:36:59,1,action,1,1,1,25
R_1FtCHinZ1VmGctM,2021-02-23 23:08:05,2021-02-23 22:37:55,2021-02-23 23:08:04,1,control,"2,6,7,8,9,10,15,16","3,17",1,1
R_2txU80tqpU5oWDK,2021-02-24 19:01:23,2021-02-24 18:35:12,2021-02-24 19:01:23,1,stationary,1,10,7,"2,6,17"
R_1hKD8bqt0U4mqUT,2021-02-25 13:07:37,2021-02-25 12:37:16,2021-02-25 13:07:36,1,action,1,"4,13","3,5","2,16,17,22"
R_1qahVm0PTQfV030,2021-02-27 09:42:07,2021-02-27 09:18:49,2021-02-27 09:42:07,1,action,1,1,3,1
R_3qebFBcGGEKvIJ7,2021-02-28 15:07:01,2021-02-28 14:42:14,2021-02-28 15:07:00,1,stationary,1,1,1,1
R_1MSNeuaT5ao9PaC,2021-03-01 18:16:12,2021-03-01 17:45:32,2021-03-01 18:16:11,1,control,2,1,1,6
R_5bxYVYjgXHvZtzr,2021-03-03 12:47:19,2021-03-03 12:14:30,2021-03-03 12:47:19,1,control,"2,8,15",1,1,1
R_1gtnRHluySObaEd,2021-03-06 20:20:04,2021-03-06 16:59:50,2021-03-06 20:20:04,1,stationary,1,"9,20",7,1
R_UuvXDvQe8lxyhfH,2021-03-06 20:59:53,2021-03-06 16:49:53,2021-03-06 16:59:49,0,action,,,,
R_32RCguc6SxUOIVY,2021-03-16 09:29:16,2021-03-16 08:53:17,2021-03-16 09:29:15,1,action,1,1,1,"2,3,11,17,22"
R_1NlF3wGEg7CjHxt,2021-03-19 21:08:40,2021-03-19 20:32:42,2021-03-19 21:08:40,1,action,3,1,1,"6,25"
R_cSFU8oIxXXpKG3f,2021-04-02 00:20:09,2021-04-01 23:52:41,2021-04-02 00:20:09,1,stationary,1,"14,17,20",1,"6,22"
R_116qdOU3IK0Egpr,2021-04-02 13:13:31,2021-04-02 12:43:24,2021-04-02 13:13:30,1,control,1,1,1,"21,22"
R_3qlFd2JshwMZSN4,2021-04-03 20:01:01,2021-04-03 19:28:46,2021-04-03 20:01:00,1,stationary,"4,8,11",17,1,1
R_2aKtPsBD5xoat1J,2021-04-06 11:18:27,2021-04-06 10:48:56,2021-04-06 11:18:27,1,action,"1,2,7,9",1,1,17
R_3oZVIolfnWIc2HD,2021-04-06 17:48:14,2021-04-06 17:21:05,2021-04-06 17:48:14,1,control,"7,8,12,15",1,7,"3,9,21,22"
