ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Martial_Arts,Outdoor_Activities,Sports
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which forms of dance have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which martial arts have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which outdoor activities have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which sports have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID23""}"
R_1gUsFdfe02quEcu,2020-11-15 16:19:51,2020-11-15 15:33:43,2020-11-15 16:19:50,1,stationary,16,1,1,17
R_T1Vt3EwMDgAgcMx,2020-11-18 15:35:16,2020-11-18 15:08:43,2020-11-18 15:35:16,1,control,2,17,1,21
R_3Pvj8Q6KKvHXX4l,2020-11-18 16:20:03,2020-11-18 15:45:36,2020-11-18 16:20:02,1,action,1,1,1,"10,25"
R_3qVUxZ3dFnQgoGA,2020-11-23 14:08:21,2020-11-23 13:45:52,2020-11-23 14:08:20,1,control,"2,8,15",1,1,25
R_3ekk2Bu9KoVEJPb,2020-11-24 17:57:07,2020-11-24 17:29:07,2020-11-24 17:57:06,1,action,1,1,1,"17,21"
R_DdvG8NXhELcphLP,2020-12-02 00:20:18,2020-12-01 23:55:40,2020-12-02 00:20:18,1,stationary,1,"1,17",1,1
R_1MVWY5oM3zBrCoA,2020-12-02 03:55:49,2020-12-01 23:52:33,2020-12-01 23:55:40,0,stationary,,,,
R_2OIu1IVmxzZpS2V,2020-12-09 17:20:44,2020-12-09 16:13:58,2020-12-09 17:20:43,1,control,1,1,1,"2,3,17,21,23"
R_1nZvHT20QlYVl4Q,2020-12-11 19:06:05,2020-12-11 18:40:46,2020-12-11 19:06:05,1,action,1,1,3,"20,21,24"
R_1EjsU2bOILm1E5T,2020-12-14 13:57:13,2020-12-14 13:29:19,2020-12-14 13:57:13,1,action,1,1,1,1
R_1opw5pnx0TGxOuo,2020-12-16 19:48:14,2020-12-16 15:46:50,2020-12-16 15:47:52,0,stationary,,,,
R_uqsAXYlwGWhSiHv,2020-12-17 10:32:34,2020-12-17 09:58:23,2020-12-17 10:32:34,1,control,16,17,1,1
R_1roUDxtrbunbHef,2020-12-20 20:28:27,2020-12-20 20:03:18,2020-12-20 20:28:26,1,control,"10,16",17,"2,4,5","3,20"
R_3g7TqAJCZNbZ8JI,2020-12-21 01:23:02,2020-12-20 21:04:58,2020-12-20 21:22:36,0,stationary,,,,
R_3Ic4uQ9YZNVQXGE,2021-02-23 20:55:22,2021-02-23 16:50:23,2021-02-23 16:55:21,0,control,,,,
R_2uU7IH5rL0I0Beu,2021-02-23 21:17:22,2021-02-23 17:13:09,2021-02-23 17:17:19,0,stationary,,,,
R_2P86vYRWi4fyQnu,2021-02-24 15:12:35,2021-02-24 14:46:24,2021-02-24 15:12:35,1,action,"2,7",13,"2,7",22
R_3gMjj5c4HnDNeVL,2021-02-25 18:23:20,2021-02-25 17:55:16,2021-02-25 18:23:20,1,action,1,1,"3,7",1
R_a9MSRxNGf5PoAdH,2021-02-26 22:24:44,2021-02-26 21:57:38,2021-02-26 22:24:44,1,action,1,1,1,"8,25"
R_1fftoTDPgXSVn7m,2021-03-01 19:59:15,2021-03-01 15:54:18,2021-03-01 15:59:13,0,control,,,,
R_2Xcyu1k8au3IJne,2021-03-03 15:37:13,2021-03-03 15:10:01,2021-03-03 15:37:13,1,stationary,1,1,1,1
R_3fJzX6lUowC9Eqm,2021-03-05 20:58:28,2021-03-05 20:34:19,2021-03-05 20:58:27,1,action,1,1,2,1
R_4SJVKhER6MUhxNn,2021-03-06 22:17:04,2021-03-06 21:51:39,2021-03-06 22:17:04,1,stationary,1,1,7,2
R_1isvn10Ya3STFTi,2021-03-08 08:34:03,2021-03-08 08:05:51,2021-03-08 08:34:03,1,control,2,1,7,1
R_WpTrLvuQZ0fnN97,2021-03-11 16:15:37,2021-03-11 15:47:32,2021-03-11 16:15:37,1,action,1,1,"1,7","3,14,17,21"
R_1IaDNqugWs0onDJ,2021-03-11 19:08:51,2021-03-11 18:43:33,2021-03-11 19:08:51,1,stationary,1,1,"3,4,7","2,3"
R_2S67YtQ0u0Nediw,2021-03-12 09:35:08,2021-03-12 09:08:04,2021-03-12 09:34:57,1,action,1,17,7,14
R_25yXqXnTXEfJGgx,2021-03-13 12:15:42,2021-03-13 11:50:16,2021-03-13 12:15:41,1,stationary,"2,7,8,9,15,16,17",1,1,12
R_3iPC0UtSkL5wSLd,2021-04-02 19:03:17,2021-04-02 18:38:45,2021-04-02 19:03:16,1,stationary,1,1,1,17
R_ZwxZ6NcCX9IhGgh,2021-04-03 15:17:56,2021-04-03 14:45:36,2021-04-03 15:17:56,1,control,"2,8",1,1,1
R_Xk4nj9EiblUI9oZ,2021-04-06 13:30:24,2021-04-06 12:53:14,2021-04-06 13:30:24,1,action,"2,7,8,15",1,"8,9,10","3,17,25,26"
