ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Martial_Arts,Outdoor_Activities,Sports
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which forms of dance have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which martial arts have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which outdoor activities have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which sports have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID23""}"
R_2v0xgravfprSyZI,2020-11-18 14:54:10,2020-11-18 14:27:43,2020-11-18 14:54:10,1,action,"2,7,8,15",17,"2,5,7","20,21"
R_t07N6Lfvw33eA8h,2020-11-19 13:09:58,2020-11-19 12:33:35,2020-11-19 13:09:58,1,stationary,1,1,1,"3,21,25"
R_1i86IcODbMOl1la,2020-11-22 01:54:04,2020-11-21 21:14:49,2020-11-21 21:53:51,0,control,,,,
R_2bJWBEMPtSeRnLf,2020-11-23 08:48:07,2020-11-23 04:44:59,2020-11-23 04:48:01,0,stationary,,,,
R_Tdx8sG0Howph5sd,2020-12-01 23:18:08,2020-12-01 22:54:09,2020-12-01 23:18:07,1,control,1,1,1,"17,21"
R_V1OHar3ORQoKTw5,2020-12-11 21:59:53,2020-12-11 21:34:37,2020-12-11 21:59:53,1,action,"7,8",1,1,1
R_2S8JhegbZRWARIv,2020-12-12 11:27:00,2020-12-12 10:56:10,2020-12-12 11:27:00,1,action,"11,16",3,3,1
R_2dAVdU7Nms7nUmG,2020-12-12 13:25:48,2020-12-12 13:00:56,2020-12-12 13:25:46,1,control,1,19,7,"2,3,14,17,25"
R_YQDCfe7jPex8XWF,2020-12-13 01:40:11,2020-12-13 01:14:12,2020-12-13 01:40:10,1,stationary,1,1,1,25
R_3lp76hgXxNis0LL,2020-12-14 19:06:25,2020-12-14 18:27:15,2020-12-14 19:06:25,1,stationary,"2,8,15",1,1,"6,17,22"
R_2vjiW0FSngfhj5d,2020-12-15 21:11:54,2020-12-15 20:44:08,2020-12-15 21:11:54,1,control,1,1,1,"3,20,22"
R_2DYwc2acZoiKh3s,2020-12-19 13:15:53,2020-12-19 12:49:47,2020-12-19 13:15:52,1,action,11,"3,4,10","3,5","2,11,16,20,24"
R_31iwXySSp82yTYk,2020-12-20 15:26:08,2020-12-20 14:52:48,2020-12-20 15:26:08,1,stationary,1,1,"3,5,6,7","2,3,7,11,14"
R_2t4NJLn62bkRrJR,2021-02-23 16:54:16,2021-02-23 16:26:27,2021-02-23 16:54:15,1,action,"2,7,12",10,1,"2,3,6,11,17,22"
R_22Dqi8MmKyJQFs0,2021-02-23 17:03:59,2021-02-23 13:01:18,2021-02-23 13:03:58,0,control,,,,
R_pau7R5HleInyIg1,2021-02-23 20:26:28,2021-02-23 16:09:05,2021-02-23 16:26:27,0,control,,,,
R_1gToA5dwcVrB0oE,2021-02-24 10:56:10,2021-02-24 10:07:38,2021-02-24 10:56:10,1,stationary,1,1,3,"17,21"
R_2QhqaYt61VHa0fl,2021-02-28 21:18:32,2021-02-28 20:51:31,2021-02-28 21:18:31,1,control,1,20,7,"21,25"
R_22RDcWfUmAZCCbb,2021-03-04 00:46:09,2021-03-04 00:16:51,2021-03-04 00:46:09,1,action,4,1,1,"20,25"
R_1KqYfSodSCUQVfp,2021-03-10 01:31:38,2021-03-10 00:56:38,2021-03-10 01:31:37,1,control,1,1,1,17
R_1lABrnB3MyGot8y,2021-03-10 04:55:18,2021-03-10 00:35:21,2021-03-10 00:55:17,0,action,,,,
R_3lPvEQtlP7KmTDj,2021-03-10 04:56:37,2021-03-10 00:55:17,2021-03-10 00:56:37,0,stationary,,,,
R_1GZJt7pDpDbHP7P,2021-03-11 16:06:06,2021-03-11 15:28:40,2021-03-11 16:06:06,1,stationary,"2,7",1,1,"6,10,20"
R_BE1HOd3Ugfx1YKR,2021-03-12 17:05:40,2021-03-12 13:00:44,2021-03-12 13:05:40,0,action,,,,
R_diKlNstAqAVUlGx,2021-03-12 17:20:36,2021-03-12 16:56:34,2021-03-12 17:20:36,1,stationary,"2,7,8",1,"2,3,6","6,12,20,21,22"
R_2eOm5IYcM6ReLzL,2021-03-15 09:46:12,2021-03-15 09:17:24,2021-03-15 09:46:11,1,action,1,1,"2,4",1
R_3pg88lsRNKZsC2u,2021-03-18 22:51:38,2021-03-18 22:25:45,2021-03-18 22:51:38,1,control,1,1,1,21
R_3L5eGkgfFgPrBfL,2021-03-24 17:54:11,2021-03-24 13:52:59,2021-03-24 13:54:11,0,stationary,,,,
R_XNX5ZiDTsh5aiw9,2021-03-28 17:01:29,2021-03-28 16:31:56,2021-03-28 17:01:29,1,control,1,19,1,"2,3,6,11,17,22"
R_2Qyw1pg2r1Zorut,2021-03-31 14:52:18,2021-03-31 14:23:08,2021-03-31 14:52:17,1,stationary,"8,15",1,1,"3,9,10,17,20,22"
R_55A6Wc3Ioig7PO1,2021-04-03 16:16:02,2021-04-03 15:49:42,2021-04-03 16:16:02,1,control,1,1,"2,3,4,5,6,7",21
R_recAzs3jcXnZ7Md,2021-04-08 01:13:38,2021-04-07 21:10:13,2021-04-07 21:13:35,0,stationary,,,,
R_1K12yqCwViywoJf,2021-04-08 11:21:57,2021-04-08 10:42:40,2021-04-08 11:21:57,1,action,"2,7,8,9,15,16,17",17,1,"20,25"
