ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Martial_Arts,Outdoor_Activities,Sports
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which forms of dance have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which martial arts have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which outdoor activities have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which sports have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID23""}"
R_2ZBtzm0XhlTomfi,2020-11-17 18:55:28,2020-11-17 18:08:32,2020-11-17 18:55:27,1,control,"7,11,16",3,1,1
R_s5cQxlD0Gsk77X3,2020-11-19 23:07:31,2020-11-19 22:38:37,2020-11-19 23:07:30,1,stationary,7,1,1,"17,22"
R_z20MsvOUuDVL82t,2020-11-30 17:23:07,2020-11-30 16:56:19,2020-11-30 17:23:07,1,action,1,1,"2,5,6,7","6,22"
R_9yiqiVBucOzthpn,2020-12-01 15:18:23,2020-12-01 14:39:02,2020-12-01 15:18:23,1,stationary,1,1,"6,7","6,25"
R_3NIJpziW517QCZL,2020-12-03 11:12:01,2020-12-03 10:41:57,2020-12-03 11:12:01,1,action,1,1,1,"14,17"
R_vYs6JfFPEMZX3kl,2020-12-03 14:36:26,2020-12-03 10:30:59,2020-12-03 10:36:16,0,action,,,,
R_1okg7WsO2yXS0S8,2020-12-08 00:06:03,2020-12-07 23:39:43,2020-12-08 00:06:03,1,stationary,"2,8,15",1,1,22
R_p3n0HMAnlWVmkbn,2020-12-10 17:04:57,2020-12-10 16:41:05,2020-12-10 17:04:56,1,control,1,1,1,"2,3,11,14,17,19,21"
R_30ktXzc2zPOw4cC,2020-12-11 17:55:33,2020-12-11 17:29:08,2020-12-11 17:55:32,1,action,1,1,"3,7","16,23"
R_2E0JLBoRCQIfKLU,2020-12-13 19:20:40,2020-12-13 18:49:44,2020-12-13 19:20:39,1,stationary,16,1,1,"12,20,21"
R_3r0UScEoISswx1u,2020-12-15 12:17:41,2020-12-15 11:46:54,2020-12-15 12:17:40,1,control,1,1,"2,3,7,8","2,5,6,11,15,17,19,20,22,23,24"
R_1pGvCqnx5M2GLyT,2020-12-16 09:44:45,2020-12-16 09:18:25,2020-12-16 09:44:45,1,action,"2,9,15",12,1,25
R_3kjiJ0cYAtlKVsd,2020-12-16 16:20:51,2020-12-16 15:53:02,2020-12-16 16:20:50,1,stationary,"7,9",1,5,"3,25"
R_3il2hAL3YJMRHuj,2020-12-16 21:52:31,2020-12-16 21:26:59,2020-12-16 21:52:31,1,control,1,10,"4,5,6",17
R_Y0lC2bURNKQ3rsl,2020-12-17 09:51:38,2020-12-17 09:25:35,2020-12-17 09:51:37,1,action,"2,8,15",17,"7,8","20,21"
R_2dFMY5BGCSKCEQ3,2021-02-24 07:37:00,2021-02-24 07:03:16,2021-02-24 07:36:59,1,control,1,1,8,20
R_1E5Li6MeMODL34o,2021-02-24 15:15:22,2021-02-24 14:46:38,2021-02-24 15:15:21,1,stationary,2,10,"2,6","12,17,21"
R_25S29Kh6VpaLFqw,2021-02-25 16:30:12,2021-02-25 11:46:45,2021-02-25 12:30:12,0,stationary,1,"4,17","3,5",
R_3kcfIwWe0K5Ohab,2021-02-25 16:31:09,2021-02-25 12:30:12,2021-02-25 12:31:08,0,control,,,,
R_1K9cVUEdzyFSf7e,2021-02-25 16:35:49,2021-02-25 12:31:08,2021-02-25 12:35:49,0,action,,,,
R_3oZSjHLM9sTWMCS,2021-02-27 23:40:39,2021-02-27 23:08:07,2021-02-27 23:40:38,1,action,1,1,1,25
R_2gaGSLsPzgCfoRj,2021-02-28 21:07:32,2021-02-28 20:31:16,2021-02-28 21:07:32,1,stationary,1,1,1,1
R_cSI0E1AtixLPrwd,2021-03-01 20:00:59,2021-03-01 16:00:12,2021-03-01 16:00:59,0,control,,,,
R_27JBGeyWlu3EFI3,2021-03-06 17:40:13,2021-03-06 17:17:31,2021-03-06 17:40:12,1,control,"2,8,9",1,1,1
R_1Kwq1MUhgnoFENe,2021-03-09 08:24:36,2021-03-09 07:57:46,2021-03-09 08:24:35,1,action,1,1,"3,6",20
R_PtTsoJVPOfTW2rv,2021-03-09 11:57:47,2021-03-09 07:40:34,2021-03-09 07:57:46,0,stationary,,,,
R_1riYiWF6k8RQCBu,2021-03-12 02:53:12,2021-03-12 02:22:40,2021-03-12 02:53:11,1,action,1,1,1,1
R_2Ytzt4geaOLSqOm,2021-03-12 09:31:00,2021-03-12 09:06:50,2021-03-12 09:31:00,1,control,1,1,1,1
R_2y4qyblvZ1LxqjJ,2021-03-12 09:37:12,2021-03-12 09:00:17,2021-03-12 09:37:12,1,stationary,"2,7,8,9",1,1,"17,22"
R_6QEugdiR7pfRbR7,2021-03-16 08:20:24,2021-03-16 07:53:26,2021-03-16 08:20:24,1,stationary,"2,3,8,15",3,3,"3,12,17,20"
R_3qVaJqFhHEw1Q8X,2021-03-20 14:29:04,2021-03-20 10:28:11,2021-03-20 10:29:03,0,action,,,,
R_1EYuvfi1bmW6kQW,2021-03-22 01:22:27,2021-03-22 00:48:30,2021-03-22 01:22:26,1,control,1,1,7,3
R_1ohG4eAV1OPEjaQ,2021-04-03 10:58:07,2021-04-03 08:40:51,2021-04-03 10:58:07,1,action,"2,7,8,9,15",1,"5,6","10,12,17,20,21"
