ResponseId,Finished,Survey,Statistical_Organization,condition,Dance_Experience_Scores,Martial_Arts_Experience_Scores,Outdoor_Experience_Scores,Sports_Experience_Scores,Experience_Total,T-1_Recognition,T-1_Likert,T-2_Recognition,T-2_Likert,T-3_Recognition,T-3_Likert,T-4_Recognition,T-4_Likert,UT-1_Recognition,UT-1_Likert,UT-2_Recognition,UT-2_Likert,UT-3_Recognition,UT-3_Likert,UT-4_Recognition,UT-4_Likert,Familiar_Scores,Unfamiliar_Scores,Correct_Trigram_Scores,Familiar_Likert,Unfamiliar_Likert,Total_Likert,T-1c_Likert,Correct_Mvt_T-1,T-2c_Likert,Correct_Mvt_T-2,T-3c_Likert,Correct_Mvt_T-3,T-4c_Likert,Correct_Mvt_T-4,Correct_Mvt_Scores,Mvt_Likert
R_2wFg7Miy8OTjtaT,1,RS-1,0,action,3,0,9,5,17,0,4,0,4,1,6,1,4,1,5,0,2,0,5,1,6,2,2,4,18,18,36,3,2,6,2,6,2,6,1,7,21
R_3Kvahc6B8d3OFpq,1,RS-1,0,control,4,0,19,15,38,0,5,1,5,0,3,0,6,1,3,0,5,0,6,1,3,1,2,3,19,17,36,4,1,5,1,2,2,3,2,6,14
R_ey5KBdRc5RLiFs5,1,RS-1,0,stationary,0,0,6,7,13,1,3,0,4,1,2,0,3,1,4,1,3,0,5,1,5,2,3,5,12,17,29,3,2,4,3,3,2,5,1,8,15
R_1lmnsX6B7rrWarZ,1,RS-1,0,stationary,0,28,0,0,28,1,5,0,2,1,4,1,4,1,5,1,3,1,2,1,3,3,4,7,15,13,28,3,3,3,2,4,2,3,1,8,13
R_2z8trZuMtIgGLUg,1,RS-1,0,action,4,0,0,17,21,0,5,1,5,0,3,0,5,0,5,0,5,1,5,0,3,1,1,2,18,18,36,3,1,5,1,3,2,5,1,5,16
R_2tMqFsArs7QaL6s,1,RS-1,0,stationary,1,46,1,6,54,1,4,1,3,1,3,1,3,1,3,1,2,0,3,1,5,4,3,7,13,13,26,3,2,2,1,3,2,4,2,7,12
R_1CfMMUjm0Ry4mzm,1,RS-1,0,control,46,0,0,3,49,0,4,1,4,1,5,1,4,1,3,1,3,1,5,0,5,3,3,6,17,16,33,3,1,2,2,4,1,2,2,6,11
R_2tkTpIOQ8TTCrl7,1,RS-2,0,stationary,0,0,0,0,0,0,4,1,6,0,3,1,5,0,6,0,5,0,3,1,3,2,1,3,18,17,35,2,2,6,1,5,2,5,3,8,18
R_9mJ4INQ5YiFMAPT,1,RS-2,0,action,0,0,8,26,34,1,2,0,3,0,4,0,1,1,5,1,5,0,5,0,3,1,2,3,10,18,28,2,2,3,3,5,1,2,2,8,12
R_1CIrdZ9udnvy2Dm,1,RS-2,0,control,12,1,0,0,13,0,4,0,3,0,5,0,5,0,5,0,5,1,4,0,3,0,1,1,17,17,34,4,2,4,2,5,1,5,2,7,18
R_Qgdv5Q0v8V1EWT7,1,RS-2,0,stationary,0,0,0,11,11,1,5,0,5,1,6,0,5,0,7,1,7,0,2,1,3,2,2,4,21,19,40,4,1,5,1,3,2,2,3,7,14
R_eJQhbWSME90sW6l,1,RS-2,0,action,0,0,10,4,14,0,5,0,3,0,3,1,3,1,6,0,5,0,4,1,5,1,2,3,14,20,34,3,2,3,2,2,2,3,1,7,11
R_2QfjS9k0VE4B3ex,1,RS-2,0,stationary,0,0,26,26,52,0,2,1,2,0,2,0,2,1,2,0,3,0,2,1,2,1,2,3,8,9,17,3,1,5,3,3,3,3,1,8,14
R_eWFeakVIjkmlzgd,1,RS-2,0,action,2,0,0,0,2,1,3,0,5,1,3,0,5,0,3,1,5,1,5,1,2,2,3,5,16,15,31,3,1,6,1,5,1,3,3,6,17
R_2ZBtzm0XhlTomfi,1,RS-2,0,control,41,2,0,0,43,0,3,0,3,1,2,1,2,1,1,1,2,0,2,1,2,2,3,5,10,7,17,2,2,3,2,1,2,1,2,8,7
R_s5cQxlD0Gsk77X3,1,RS-2,0,stationary,1,0,0,17,18,1,3,1,5,1,5,1,3,0,6,1,6,1,6,0,6,4,2,6,16,24,40,3,2,3,2,3,2,5,1,7,14
R_z20MsvOUuDVL82t,1,RS-2,0,action,0,0,32,6,38,0,4,0,7,1,5,1,4,1,5,1,7,1,3,0,4,2,3,5,20,19,39,5,2,3,2,4,2,3,1,7,15
R_9yiqiVBucOzthpn,1,RS-2,0,stationary,0,0,8,10,18,0,2,0,4,1,2,1,4,0,3,1,1,0,2,0,3,2,1,3,12,9,21,1,2,3,2,2,2,1,2,8,7
R_3NIJpziW517QCZL,1,RS-2,0,action,0,0,0,20,20,0,2,0,6,0,6,1,2,0,2,0,2,1,2,0,3,1,1,2,16,9,25,2,2,3,2,2,2,4,2,8,11
R_1okg7WsO2yXS0S8,1,RS-2,0,stationary,15,0,0,2,17,0,3,1,3,1,5,1,2,0,4,1,4,1,3,1,2,3,3,6,13,13,26,4,2,3,2,5,1,4,2,7,16
R_p3n0HMAnlWVmkbn,1,RS-3,0,control,0,0,0,54,54,1,3,0,7,0,5,0,7,1,5,1,6,0,5,1,7,1,3,4,22,23,45,6,1,6,2,6,1,3,2,6,21
R_30ktXzc2zPOw4cC,1,RS-3,0,action,0,0,13,10,23,1,4,0,5,0,5,1,4,0,5,0,5,1,3,1,4,2,2,4,18,17,35,3,1,4,2,3,2,3,2,7,13
R_2E0JLBoRCQIfKLU,1,RS-3,0,stationary,8,0,0,18,26,0,4,0,5,0,2,1,3,1,2,0,4,1,5,0,5,1,2,3,14,16,30,1,2,2,2,5,2,2,2,8,10
